Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2021-01-21,2177.3037109375,2206.960986114977,2161.0727648703937,2184.982506098747,1521133
2021-01-22,2215.6513671875,2227.284285728472,2167.50993454253,2169.3491453482516,2548089
2021-01-25,2206.685546875,2236.8026283548447,2193.2592161657794,2225.4454101137053,2124424
2021-01-27,2199.05224609375,2230.04290046775,2147.2784216875034,2230.04290046775,2460297
2021-01-28,2115.460205078125,2217.6744815770653,2105.8963985754003,2177.533570538317,3867335
2021-01-29,2081.894775390625,2135.599870621203,2070.031954395448,2128.9787560073123,4472694
2021-02-01,2067.824951171875,2101.2985004993343,2047.225653920854,2093.619705013951,2717591
2021-02-02,2051.134033203125,2092.1025029435996,2027.7301182376427,2088.470106137804,4215607
2021-02-03,2053.3408203125,2075.5491988960125,2039.3168392388784,2052.0992633302844,2353429
2021-02-04,2065.06591796875,2077.3885401769826,2047.2254390026608,2058.996432694229,2908003
2021-02-05,2087.09033203125,2101.298189548129,2060.8355548259765,2065.0658291703194,4036942
2021-02-08,2056.83544921875,2104.700958009853,2050.9960892927293,2104.057279094558,2780672
2021-02-09,2038.0755615234375,2073.4343458777153,2032.787830230145,2066.353428874524,3131481
2021-02-10,2055.777587890625,2060.835416892369,2034.8565679288663,2041.5237061584378,2055520
2021-02-11,2081.06689453125,2085.6649212535904,2054.444364711504,2061.7551822974206,1824480
2021-02-12,2061.34130859375,2089.5731464487562,2052.5590330613377,2085.6648239171654,1222094
2021-02-15,2037.10986328125,2079.917540102402,2035.0867762779333,2070.0317819257243,2449407
2021-02-16,2019.5458984375,2049.846857311776,2013.9822397913272,2047.9616209753929,2396356
2021-02-17,1989.93408203125,2024.5573608629459,1986.3477106921616,2019.4535058703643,2447956
2021-02-18,1974.255126953125,1994.2105210919506,1970.8984322221913,1990.0262712290378,3205806
2021-02-19,2005.7515869140625,2017.614407710236,1977.1517668992742,1979.8185329656837,3364030
2021-02-22,1993.3369140625,2027.7300689644298,1987.8192812217806,2027.7300689644298,2678023
2021-02-23,2004.0501708984375,2016.097092062505,1995.7276966983031,2009.3379022200693,2062144
2021-02-24,2003.6824951171875,2012.556598217057,1982.2556424748193,2012.556598217057,924143
2021-02-25,1989.382568359375,2009.3379622581376,1986.3478253901956,2001.9811184603961,2099460
2021-02-26,1960.6448974609375,2006.9468984095438,1949.5636065869244,1984.50861462952,3413194
2021-03-01,1971.08203125,1980.8299378337797,1956.9201985655911,1963.541312229561,1229276
2021-03-02,2002.8546142578125,2008.3262216989233,1968.4614607596495,1988.186952457509,2095135
2021-03-03,2017.154541015625,2027.7300036195363,1998.7624321392573,2027.7300036195363,2031893
2021-03-04,2020.281005859375,2026.3504912817712,1999.2221320837625,2009.337791445732,2290915
2021-03-05,2024.1436767578125,2032.2820504069527,2000.3717857065217,2008.9701866007467,2129837
2021-03-08,1999.72802734375,2037.9376777603409,1994.624172318335,2032.327994847174,1440724
2021-03-09,2021.7525634765625,2027.7299988473142,1988.2329900308796,2001.061441039345,1711842
2021-03-10,2048.742919921875,2057.0651689366073,2016.8784590414946,2032.787676896058,2696085
2021-03-12,2027.500244140625,2059.82428794762,2023.1321179768115,2056.2379162709776,2038930
2021-03-15,2033.1099853515625,2039.1792471702176,2007.7748079784953,2028.7418590635534,1632022
2021-03-16,2063.640869140625,2066.813463369768,2036.2826041638727,2042.7658681618186,2633605
