Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Date,,,,,
2021-02-22,2931.04931640625,2947.189167274618,2876.1052859402107,2918.9016185083365,921345
2021-02-23,2923.58056640625,2987.195539047991,2899.19923537202,2931.049479043191,1069537
2021-02-24,2954.615478515625,3004.751825131303,2876.9211813229444,2953.2417938433377,823330
2021-02-25,2948.43408203125,2970.411779031971,2920.8333743385906,2961.82677389026,897962
2021-02-26,2767.8056640625,2939.205208273591,2747.029993490679,2923.194257485364,1880371
2021-03-01,2876.148681640625,2887.1804982401236,2790.1269630376396,2794.4194660576973,1176879
2021-03-02,2984.491455078125,2996.1671472837143,2877.2648120691597,2877.6940623767937,1402320
2021-03-03,2939.806396484375,3014.109450254763,2913.750821359379,3013.3368836097293,965062
2021-03-04,2935.94287109375,2970.411580597137,2891.6441636839036,2917.184552274298,934953
2021-03-05,2971.871337890625,2997.4546964223387,2913.7508920685714,2931.7794037755366,1017875
2021-03-08,2973.802734375,2995.7374638426672,2938.389589115361,2971.8281413264026,749107
2021-03-09,2960.839599609375,2996.166812138047,2933.0670239741085,2974.747266102048,564852
2021-03-10,2935.513671875,2983.2891392892784,2925.6409164500137,2960.9681270240926,787897
2021-03-12,2876.448974609375,2935.213293599108,2841.6367364179723,2880.2692600248633,1098158
2021-03-15,2802.274658203125,2892.6318466288476,2784.117454295668,2884.562024802172,781236
2021-03-16,2794.46240234375,2833.0519621516596,2788.4099312329063,2832.150494608364,523881
2021-03-17,2739.0888671875,2814.9372621284224,2725.7391422255037,2796.136184638887,991815
2021-03-18,2667.533203125,2762.397525852008,2637.5716139930673,2762.397525852008,1472097
2021-03-19,2677.791748046875,2688.866530242658,2606.407515381529,2648.474039839268,1554560
2021-03-22,2657.7890625,2699.082813989603,2645.1689364972085,2688.480457750793,619756
2021-03-23,2633.407470703125,2688.8237231356366,2627.483900744889,2668.1337760385704,944310
2021-03-24,2604.561767578125,2649.289516872017,2595.2469535232744,2633.8794751602404,975533
2021-03-25,2525.407958984375,2618.083257359922,2512.916944152799,2603.9179988463093,1075251
2021-03-26,2522.10302734375,2560.7355531603866,2516.265181523596,2551.4637050454203,611318
2021-03-30,2544.466796875,2555.1980531507775,2503.9026481525607,2519.6560066084926,899455
2021-03-31,2501.3271484375,2542.8784889291246,2491.3684587685075,2537.384169549932,1212659
2021-04-01,2537.813720703125,2579.751349474418,2517.982272901985,2531.718282573459,1067722
2021-04-05,2478.405029296875,2552.2790398275915,2460.977636684336,2542.0200006900786,1152927
2021-04-06,2479.306640625,2513.6896298373417,2462.179596439036,2489.6516142514656,788062
2021-04-07,2525.365234375,2531.632120546995,2468.231982377078,2472.4815180672854,649751
2021-04-08,2513.689697265625,2567.2172922458235,2501.1555049645367,2548.888221031981,953450
2021-04-09,2500.726318359375,2530.8597733110346,2490.638936291395,2513.6897612804305,557093
2021-04-12,2391.868408203125,2481.0235624021802,2353.235884389754,2467.3305208806346,859305
2021-04-13,2459.904541015625,2471.6229892385054,2380.8365595365353,2402.9429478564007,714921
2021-04-15,2457.5009765625,2481.066776517366,2420.971733487534,2448.4437531583144,683426
2021-04-16,2485.23046875,2511.0712102524726,2436.6392524575144,2436.6392524575144,709663
2021-04-19,2391.39599609375,2423.160513084817,2354.9526935189124,2370.6203268996414,740714
2021-04-20,2424.148193359375,2445.739610017338,2404.5315796694395,2439.2149213743014,740095
2021-04-22,2447.713623046875,2474.670664573275,2360.876381085962,2363.7094746622347,1436707
2021-04-23,2458.78857421875,2467.158954690433,2414.1465450364426,2419.254581456599,682515
2021-04-26,2459.2177734375,2471.1078802062975,2429.5565377449984,2455.3545209923227,831133
2021-04-27,2494.37353515625,2523.1333057388465,2464.1113884984434,2468.1892664168713,811184
2021-04-28,2512.187255859375,2583.2281769776537,2502.5720915363568,2513.689631834686,1389833
2021-04-29,2455.397705078125,2544.424177379843,2446.7697319352537,2544.424177379843,1009327
2021-04-30,2420.24169921875,2455.311529908711,2408.094000487389,2433.6773583473678,670258
2021-05-03,2398.006591796875,2445.0094955473014,2375.1703939906893,2386.588492893782,668727
2021-05-04,2383.841796875,2420.7573266366367,2375.256789953689,2398.6509338142614,642256
