Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2021-01-21,167.3887939453125,171.9318613086331,166.21385374241052,171.54021457433242,30116008
2021-01-22,165.0389404296875,168.2112507074154,163.82483917055356,167.62378676060257,25663922
2021-01-25,162.76742553710938,166.44889097789238,162.023305221749,166.05724413367943,25929487
2021-01-27,164.99977111816406,166.56635823128408,162.21910754077365,162.92406677673895,50338134
2021-01-28,161.8274383544922,165.2738997364976,161.16164016484294,163.90315482084276,22984352
2021-01-29,159.20346069335938,163.55071192157814,158.49850137019817,163.35489471439107,24679902
2021-02-01,169.15121459960938,170.71778939275475,158.0676833535974,159.7909143848226,59968324
2021-02-02,170.91360473632812,175.0650381422084,169.9736549739437,172.32352317373153,50324035
2021-02-03,169.77784729003906,173.8901075603725,168.95539275350293,173.4984607697819,55709225
2021-02-04,180.1172332763672,181.253000124427,169.19034765784738,169.2686819701443,109894300
2021-02-05,183.563720703125,187.088529419883,178.00238093943122,181.84048971260134,130323308
2021-02-08,182.58460998535156,186.46189212757386,181.33136010992732,186.03108437980998,43093963
2021-02-09,179.3731231689453,187.36267787848232,178.74649824164274,183.75954730945145,73377134
2021-02-10,178.2373504638672,181.01802641739232,174.75171528355727,179.37311741744563,49104142
2021-02-11,177.375732421875,179.60810534284138,175.84831871740607,179.37311479989341,45311749
2021-02-12,170.3261260986328,176.8274147312104,169.03369063219841,176.8274147312104,114826417
2021-02-15,171.22689819335938,173.10679750960438,170.36528284522421,171.10940293455093,33000365
2021-02-16,170.95277404785156,173.73345010544844,170.16949288452315,171.5794113908614,30271502
2021-02-17,170.56112670898438,171.07026877276328,169.6211893160269,170.44363143177793,20615018
2021-02-18,171.4227294921875,172.79348693746508,170.67860934147086,170.91359987847449,24997592
2021-02-19,169.15121459960938,171.46192203906816,167.62380076289705,171.42274867028755,29208388
2021-02-22,166.17568969726562,170.14849936970091,165.33297172322423,170.14849936970091,53531490
2021-02-23,167.33941650390625,168.98472643274246,166.1355411164908,166.93813318687302,27703323
2021-02-24,167.6203155517578,168.38278180265917,165.73423825402847,167.82096992016653,13667471
2021-02-25,167.86109924316406,169.5064091388874,167.58019329599946,168.14200519032863,26953713
2021-02-26,163.6073760986328,166.93812151142876,162.92517415833606,166.33617114166282,45101885
2021-03-01,166.05526733398438,166.73746928301324,163.76789405406655,164.89151780113596,16850430
2021-03-02,168.46302795410156,169.18535567718118,165.73423292045,166.13552892619578,26590262
2021-03-03,168.503173828125,170.14847099004794,167.58019170272053,170.14847099004794,21648963
2021-03-04,168.3025360107422,169.58667578070708,166.61710017800849,167.58020818502186,25858155
2021-03-05,167.37954711914062,168.54329666362014,166.2960491470212,166.93812531668829,17990773
2021-03-08,166.93812561035156,169.1853604127464,166.69734545653318,168.30251680628874,23874105
2021-03-09,166.77761840820312,168.34266417233076,164.32972892444639,167.49994624409595,23463213
2021-03-10,165.73423767089844,167.90122090224966,165.1724257903825,167.8209693296944,20358192
2021-03-12,164.69090270996094,166.93815056646122,163.3264985918974,166.93815056646122,31973696
2021-03-15,164.89151000976562,165.33293178694834,161.80155756948676,165.2125544352993,42699297
2021-03-16,166.81773376464844,167.66045157592004,164.4902219781167,165.65398423046116,50641203
2021-03-17,169.02484130859375,171.6733847953392,167.37954420413558,170.30898090740672,81604999
2021-03-18,174.68309020996094,175.8468397636343,170.06820506360708,170.95106139364376,95536034
2021-03-19,178.9368133544922,181.50509291782095,172.9976748131437,175.7665960506055,139352860
2021-03-22,181.38467407226562,181.705705764741,177.77302301837182,179.21767835266695,47823778
