Price,Close,High,Low,Open,Volume
Ticker,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS
Date,,,,,
2021-03-04,3006.82470703125,3045.570105905147,2982.0156634893046,3022.5402382997327,687383
2021-03-05,2846.109619140625,2982.7564865989307,2836.719780147107,2965.2123137426206,1486110
2021-03-08,2833.359375,2901.806360988444,2813.739456499688,2867.3603805411767,952087
2021-03-09,2852.63330078125,2893.009465338169,2793.9219497542304,2837.2140995879868,883183
2021-03-10,2870.424560546875,2891.032642087644,2847.3452273455987,2876.2560484511646,432551
2021-03-12,2941.837158203125,2995.853355267313,2893.5535128819065,2897.1118647930803,1512021
2021-03-15,2961.85205078125,2989.9226328601244,2881.1981734833926,2963.2357201040177,918701
2021-03-16,3037.61328125,3044.285009761653,2956.119401247364,2967.189480293663,1081398
2021-03-17,2962.642822265625,3046.558488438349,2935.5606421581206,3044.285110386199,740599
2021-03-18,2924.39111328125,3029.458515608142,2888.116731682542,2990.910756355706,789785
2021-03-19,2900.571044921875,2948.261547293648,2853.770009801065,2919.7459897661606,2288304
2021-03-22,2871.41357421875,2910.109508004259,2841.6625067546047,2879.221872061274,488626
2021-03-23,2912.579833984375,2933.385788924965,2863.2585650324127,2884.0642786634035,630061
2021-03-24,2885.744873046875,2942.331011030141,2870.3751401449567,2923.551332048795,627981
2021-03-25,2776.773193359375,2958.2935123173543,2755.176466951094,2893.058840812862,1001626
2021-03-26,2818.632080078125,2871.3140697926974,2786.3113124769757,2807.0677997284893,918204
2021-03-30,2891.675537109375,2936.450056072379,2841.662186109988,2868.843302672779,1420415
2021-03-31,2868.9912109375,2893.9978842071805,2848.6302302228755,2867.3604406130107,665173
2021-04-01,2860.490966796875,2880.160112089468,2810.4281537697952,2852.88030340118,842489
2021-04-05,2885.645751953125,2980.0383429144276,2852.5342148096315,2888.116762187714,1241115
2021-04-06,2948.953125,2980.0383859379976,2893.256456984418,2904.919673721982,1015604
2021-04-07,3061.878662109375,3078.879166548779,2963.9771751807866,2964.224276237492,1240450
2021-04-08,3078.4833984375,3107.7400139858664,3053.575422943217,3098.449112295488,800699
2021-04-09,3095.830078125,3127.459012112441,3069.8844682134277,3111.0021789209472,934037
2021-04-12,2969.907470703125,3082.8326486806045,2944.505531446263,3082.8326486806045,961549
2021-04-13,2946.18603515625,3026.3949453430987,2916.781008050354,2997.187792139406,544916
2021-04-15,2958.7880859375,3003.7110102848474,2868.6456677095307,3001.783670283009,692875
2021-04-16,3025.505126953125,3037.3659768464404,2959.2820483821156,2964.9653722893295,622872
2021-04-19,3120.787353515625,3205.5430144521188,2970.7970147737838,3002.7719874643444,3552506
2021-04-20,3231.735595703125,3270.62939628983,3144.8549657434774,3172.777383526852,2575420
2021-04-22,3191.508056640625,3295.438914887601,3179.9437744461025,3231.09369761887,1307224
2021-04-23,3162.9423828125,3260.7449138864636,3134.2291973125116,3220.2203484213696,1030125
2021-04-26,3137.837158203125,3215.2787203713256,3115.4499005872785,3192.891462755479,557667
2021-04-27,3154.047607421875,3167.8357992220826,3121.1831642630186,3162.893777694435,505348
2021-04-28,3162.15185546875,3211.3249600431254,3145.695023526994,3172.777199673263,575824
2021-04-29,3201.34228515625,3222.197710419315,3162.152154926072,3162.152154926072,589707
2021-04-30,3160.42236328125,3271.617833451427,3145.892870107603,3218.244007769742,906562
2021-05-03,3167.143798828125,3184.4408732702523,3103.5893570445537,3171.5916179703863,728281
2021-05-04,3144.360595703125,3205.64165092783,3129.682698048852,3195.658672827063,581864
2021-05-05,3294.252197265625,3318.0728345438665,3139.319841943983,3162.6957456028417,1679977
2021-05-06,3308.33740234375,3346.638069502712,3262.4260702306137,3318.91352154891,1124908
2021-05-07,3272.45849609375,3357.609430611149,3263.7110214536397,3308.3373793872715,774478
2021-05-10,3285.158935546875,3303.839919395732,3223.7791805539255,3276.559867414678,627199
2021-05-11,3220.418701171875,3276.560111218787,3207.6189143085276,3276.560111218787,670759
2021-05-12,3159.68115234375,3236.924844685363,3148.6605419469342,3236.924844685363,703372
2021-05-14,3104.5283203125,3174.5073903656266,3059.4572307242875,3162.893640280223,842794
2021-05-17,3115.7958984375,3152.959749449143,3078.9778440903356,3110.507839745676,847722
2021-05-18,3126.816650390625,3151.4772866323356,3103.5891519603483,3137.19489437011,639445
2021-05-19,3192.248779296875,3198.574710532269,3125.0372982695358,3143.322774725503,711069
2021-05-20,3182.612060546875,3234.7998506510958,3176.731103809525,3208.2611013153983,752076
2021-05-21,3210.08984375,3221.6046565263377,3187.6036474770995,3208.755401513252,471439
2021-05-24,3223.28466796875,3246.9074291486127,3202.5774092770394,3210.33647789184,611909
2021-05-25,3162.547119140625,3229.116232580377,3133.883399904374,3228.374929496681,622276
2021-05-26,3146.683349609375,3182.661161871916,3141.247127127917,3167.8351005588484,260821
2021-05-27,3161.90478515625,3186.219623072664,3117.03133455721,3149.5497336356334,1084157
2021-05-28,3112.83056640625,3169.8119665686236,3103.5888914953157,3161.9047337240495,555829
2021-05-31,3132.005615234375,3149.352156134517,3088.7629341561883,3108.5310169347877,635444
2021-06-01,3202.232421875,3211.3256935208537,3124.19794766741,3153.0098375904968,706976
2021-06-02,3235.6396484375,3262.721823334253,3182.6610939522247,3206.6793610287505,843219
2021-06-03,3385.926513671875,3395.1681888173875,3229.165763334947,3233.0699113891337,1098294
2021-06-04,3340.954345703125,3388.8919491964634,3335.8641606189167,3385.6304083982195,380548
2021-06-07,3276.8564453125,3340.9543119732757,3269.641046494528,3340.9543119732757,526855
2021-06-08,3251.30615234375,3274.088917450119,3217.848814908937,3260.745460729945,766456
2021-06-09,3267.5654296875,3292.9676113082455,3213.302134279046,3251.8498990396993,587528
2021-06-10,3287.1357421875,3306.2119911757886,3258.8180588766118,3283.9234285936823,749909
2021-06-11,3297.860107421875,3307.2004789225984,3263.414124260115,3303.592900088387,277612
2021-06-14,3311.35205078125,3321.038461221742,3246.908138426614,3306.2123966627164,317756
2021-06-15,3260.053466796875,3318.023273858841,3256.791684829358,3316.095934022002,461588
2021-06-16,3256.0009765625,3286.4438733353177,3239.988877231029,3271.6178107488427,419575
2021-06-17,3203.02294921875,3244.881724945106,3187.8013787921923,3219.2326825980613,356502
2021-06-18,3184.144287109375,3215.2790209426657,3125.8779049118575,3197.4877444665,520516
2021-06-21,3200.453125,3214.290785206918,3144.1140798718343,3157.951740078752,200280
2021-06-22,3220.418701171875,3264.6497916626868,3192.644686342195,3200.4529834468876,567861
2021-06-23,3207.174072265625,3236.974363076499,3174.754365477035,3236.974363076499,504942
2021-06-24,3166.10595703125,3243.5967547651812,3105.3190948264823,3192.446834129462,1754163
2021-06-25,3399.121826171875,3424.820333726533,3184.885229538332,3215.5257577765783,3717669
2021-06-28,3414.09619140625,3449.53057767498,3362.7486426738415,3407.86943813894,1213113
2021-06-29,3549.507568359375,3563.1475942817656,3380.342289768073,3380.342289768073,2268589
2021-06-30,3577.874755859375,3617.4109207207425,3541.0567023322265,3575.0577075891624,1291906
2021-07-01,3635.79541015625,3654.0808880017385,3553.3131272719042,3577.875068361179,876022
2021-07-02,3689.910400390625,3701.4746809214903,3624.4780925771165,3658.0838343681235,573795
2021-07-05,3674.985595703125,3719.315377395451,3659.764026886978,3716.3996333918126,444545
2021-07-06,3663.272705078125,3707.2566876416263,3653.141563026981,3674.787516349001,344090
2021-07-07,3672.51513671875,3714.225750179349,3654.723859206771,3671.921997611159,466002
2021-07-08,3628.826904296875,3676.8634425704286,3614.593981043026,3657.0953595458564,459811
2021-07-09,3682.695068359375,3700.585280689976,3630.4085833264644,3630.4085833264644,469932
2021-07-12,3703.946044921875,3744.86612626523,3686.846844190693,3701.5739712105074,464757
2021-07-13,3706.811767578125,3726.233810692338,3677.8514805683844,3724.306471051242,246112
2021-07-14,3711.259765625,3731.2254801975155,3665.8918726164443,3710.468994082509,395272
2021-07-15,3718.72216796875,3753.95867671742,3707.0589516222444,3731.077218905814,399845
2021-07-16,3735.2783203125,3743.086616783794,3699.003693983593,3718.722550354452,226565
2021-07-19,3838.71484375,3874.495027826344,3721.341844021564,3735.2784398815893,1044561
2021-07-20,3837.924072265625,3862.6836459448773,3773.0354325161156,3844.892370195899,357815
2021-07-22,3939.08740234375,3957.570513071444,3844.892431530449,3844.892431530449,760359
2021-07-23,3873.457275390625,3953.369854631383,3867.625786904832,3939.0874616408746,335985
2021-07-26,4052.80322265625,4110.575158070977,3884.428472130512,3891.347301470185,1982531
2021-07-27,4030.95947265625,4141.06760521446,4003.4817873343504,4073.114815722615,859687
2021-07-28,3981.6875,4052.4573393277196,3939.285055095275,4052.4573393277196,455244
2021-07-29,3991.9169921875,4007.5338249685296,3946.8951379226996,3993.15249729186,449417
2021-07-30,3988.210693359375,4039.0640379533006,3961.0295795880284,3984.2570768108153,627367
2021-08-02,4001.20849609375,4045.4890539586468,3988.2605454375857,4012.5751447641555,344295
2021-08-03,4045.241943359375,4176.007871234147,4016.9242586972236,4043.1664392624075,981680
2021-08-04,4019.24658203125,4080.725513866594,4005.6560248233677,4063.131630236859,305863
2021-08-05,4026.511474609375,4064.0216057881285,3989.199217311675,4037.4333889147297,270458
2021-08-06,4040.645751953125,4129.601886747572,4025.9678533721094,4042.3754592662594,717143
2021-08-09,3957.27392578125,4063.329746807076,3943.7328362345497,4061.352938367861,431991
2021-08-10,4015.6884765625,4039.4101764441616,3953.6166469435643,3977.3383468252255,364246
2021-08-11,3979.661376953125,4035.8025428852443,3869.6024719362745,4017.8631030449437,831738
2021-08-12,4085.173095703125,4094.9089726440634,3929.2523484140365,3980.3033238235193,556973
2021-08-13,4016.97314453125,4097.6762416714,3991.3733339047453,4096.8857114498605,553736
2021-08-16,4294.71484375,4323.773828390794,4077.315164234254,4097.923486686073,3709012
2021-08-17,4863.443359375,4916.322989438319,4282.01452975355,4294.616684581724,8069431
2021-08-18,4735.26708984375,4908.442333013347,4709.701159227497,4796.684528534099,2941548
2021-08-20,4694.322265625,4880.453597606554,4645.5644080803895,4667.124569995654,2331020
2021-08-23,4691.10791015625,4786.448097669676,4668.311489748916,4727.453920950166,699991
2021-08-24,4787.5361328125,4835.206468332247,4698.426496268735,4767.014235429686,1576663
2021-08-25,4719.1962890625,4826.355319847173,4697.784378949605,4811.520211282069,469002
2021-08-26,4648.72900390625,4727.454067810678,4595.32261903977,4723.943285674725,800419
2021-08-27,4712.71826171875,4778.882746204115,4624.943873530502,4665.245916557782,937887
2021-08-30,4705.2509765625,4774.9267264551345,4669.696457732394,4737.542447735763,632354
2021-08-31,4914.919921875,4990.529706008408,4713.706721990307,4713.706721990307,2883159
2021-09-01,4983.65576171875,5016.045742473546,4890.936351161126,4930.2001240507,841956
2021-09-02,4988.0576171875,5065.694679336646,4957.892898772864,4983.656342154985,900686
2021-09-03,4959.42578125,5017.529953308691,4912.398682817325,4998.442307823387,567961
2021-09-06,4940.58544921875,4984.59626945501,4917.34378010522,4973.717190295485,439776
2021-09-07,4823.4375,4967.78329784812,4806.575119956573,4965.211782476929,479021
2021-09-08,4758.5087890625,4847.569170499661,4739.421144697723,4846.134917001624,642506
2021-09-09,4667.66845703125,4767.014417465251,4633.4984534906025,4762.761879926331,838279
2021-09-13,4693.68017578125,4743.278793016226,4629.88920786016,4682.949350486203,1151299
2021-09-14,4680.42724609375,4720.531294282391,4645.070239227923,4720.531294282391,528943
2021-09-15,4739.3720703125,4766.224003883877,4635.031803871848,4697.784507991447,659281
2021-09-16,4827.09619140625,4836.244506679622,4739.371072322101,4766.025005662392,779552
2021-09-17,4854.294921875,4891.13544259824,4810.976596713558,4821.4104302227115,814867
2021-09-20,4824.4755859375,4898.106874095166,4729.135398972572,4810.530489375296,434640
2021-09-21,4837.82763671875,4864.87707977763,4737.492664759679,4804.5968987613,462221
2021-09-22,4850.9814453125,4954.926201328291,4816.366192409009,4870.860587134099,562041
2021-09-23,5028.31103515625,5077.563404818966,4851.080736392098,4877.190432152015,696944
2021-09-24,4679.78369140625,5140.859003339894,4659.756297251261,5099.419701646372,1949974
2021-09-27,4515.361328125,4718.55303700031,4415.02684411429,4696.596885456861,1885178
2021-09-28,4362.5595703125,4579.003870483293,4327.895064662496,4529.65251283232,1051440
